title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes
Ben & Holly's Little Kingdom,SHOW,2009,TV-G,14,"comedy, family, fantasy, animation, european",GB,3,7,1222
The Garfield Show,SHOW,2009,TV-G,17,"animation, comedy, family, european",US,5,5,2499
Wakfu,SHOW,2008,TV-Y7,22,"action, drama, scifi, fantasy, animation, family, european",FR,3,8,1469
Katt Williams: The Pimp Chronicles Pt. 1,MOVIE,2006,Uk,46,"comedy, documentation",US,1,7,1780
Initial D,MOVIE,2005,Uk,107,"drama, action, crime, thriller, animation, comedy, romance","HK, JP",1,6,8536
Comedian,MOVIE,2002,R,82,"comedy, documentation",US,1,6,6948
Delta Farce,MOVIE,2007,PG-13,90,"action, comedy",US,1,3,11138
One Piece: Strong World,MOVIE,2009,PG-13,114,"fantasy, animation, action",JP,1,7,5382
Dinosaur King,SHOW,2007,Uk,21,"action, scifi, family, western, animation",JP,2,5,720
Vampire Knight,SHOW,2008,TV-14,25,"scifi, romance, animation, action, drama, fantasy, horror",JP,2,7,5172
Den-noh Coil,SHOW,2007,TV-Y7,25,"scifi, animation, comedy, drama",JP,1,7,863
Zig and Sharko,SHOW,2010,Uk,9,"comedy, fantasy, romance, action, animation, family, european",FR,3,6,644
Even the Rain,MOVIE,2010,Uk,104,"drama, european, history","ES, FR, MX",1,7,13446
Naruto Shippuden the Movie,MOVIE,2007,PG-13,94,"fantasy, animation, action, family",JP,1,6,4016
Trailer Park Boys: The Movie,MOVIE,2006,R,95,"comedy, crime",CA,1,7,12831
Jeff Dunham: Arguing with Myself,MOVIE,2006,PG-13,76,"comedy, documentation",US,1,8,3984
From Within,MOVIE,2008,R,89,"thriller, horror, documentation, war, european",US,1,5,7585
And Then Came Lola,MOVIE,2009,PG,71,"comedy, drama, romance",US,1,3,1683
One on One,SHOW,2001,TV-14,20,comedy,US,5,7,2303
The Cartel,SHOW,2008,TV-MA,44,"action, crime, drama, thriller, comedy",CO,2,8,755
Te quiero,MOVIE,2001,Uk,85,"drama, comedy, european",FR,1,4,73
Bon Cop Bad Cop,MOVIE,2006,PG-13,116,"crime, scifi, drama, thriller, action, comedy",CA,1,6,61
Naruto: Ninja Clash in the Land of Snow,MOVIE,2004,PG-13,82,"comedy, action, animation, fantasy",JP,1,6,6759
The Mafia Dolls,SHOW,2009,TV-14,43,"drama, action",CO,2,6,284
Horrid Henry,SHOW,2006,Uk,12,"comedy, family, fantasy, music, animation, european",GB,5,6,912
I Will Follow,MOVIE,2010,PG-13,76,drama,US,1,5,865
Alpha and Omega,MOVIE,2010,PG,88,"animation, romance, comedy, family","IN, CA, US",1,5,14272
One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,MOVIE,2007,PG-13,90,"drama, comedy, animation, action",JP,1,6,1611
Bo on the Go!,SHOW,2007,Uk,22,animation,CA,4,4,118
Waist Deep,MOVIE,2006,R,97,"thriller, drama, crime, action",US,1,5,9957
Naruto: Guardians of the Crescent Moon Kingdom,MOVIE,2006,PG-13,95,"action, animation",JP,1,6,3975
First Sunday,MOVIE,2008,PG-13,96,"comedy, crime, drama",US,1,4,10834
Einsatzgruppen: The Nazi Death Squads,SHOW,2009,TV-14,44,"documentation, history, war, european",FR,1,7,603
This Is the Life,MOVIE,2008,Uk,97,"documentation, music",US,1,6,263
My Suicide,MOVIE,2009,R,107,"comedy, drama",US,1,7,1936
Kyaa Kool Hai Hum,MOVIE,2005,Uk,172,comedy,IN,1,6,3507
Kung Fu Panda Awesome Secrets,SHOW,2008,Uk,44,"action, comedy, family, animation",US,1,7,55
Divine Intervention,MOVIE,2002,Uk,92,"drama, comedy, romance, war","PS, FR, MA, DE",1,6,3598
Accident,MOVIE,2009,R,89,thriller,HK,1,6,3284
Naruto: Legend of the Stone of Gelel,MOVIE,2005,PG-13,96,"fantasy, comedy, drama, animation, action",JP,1,6,4297
Jim Gaffigan: Beyond the Pale,MOVIE,2006,Uk,72,"comedy, documentation",US,1,7,3940
Dreamworks Happy Holidays from Madagascar,SHOW,2005,TV-PG,44,"animation, comedy, family",US,1,6,96
Billu,MOVIE,2009,PG,137,"drama, comedy",IN,1,6,11747
Half & Half,SHOW,2002,TV-14,21,comedy,US,4,7,1827
Timmy Time,SHOW,2009,TV-Y,14,"comedy, fantasy, animation, family, european",GB,3,6,1083
"Cairo 6,7,8",MOVIE,2010,Uk,100,drama,EG,1,7,4346
Trailer Park Boys: Countdown to Liquor Day,MOVIE,2009,R,101,"comedy, crime",CA,1,7,7451
Bleach the Movie: Hell Verse,MOVIE,2010,PG-13,94,"fantasy, animation, action",JP,1,7,2416
Whisky,MOVIE,2004,Uk,99,"drama, comedy","DE, UY, ES, AR",1,7,6249
EMI,MOVIE,2008,Uk,128,"drama, comedy, crime",IN,1,4,604
Vientos de agua,SHOW,2006,TV-MA,72,drama,"ES, AR",1,8,1034
Naruto Shippuden the Movie: The Lost Tower,MOVIE,2010,PG-13,85,"action, animation, fantasy",JP,1,6,3567
Naruto Shippuden the Movie: Bonds,MOVIE,2008,PG-13,90,"fantasy, animation, action",JP,1,6,4473
Naruto Shippuden the Movie: The Will of Fire,MOVIE,2009,PG-13,95,"action, animation, fantasy",JP,1,7,3626
